Country Name,Country Code,Indicator Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greenland,GRL,GDP growth (annual %),6.166132702,0.865952329,1.735825059,-0.496519392,1.39419336,-1.298280693,4.742135673,-2.529318024,4.68195411,0.468546638,3.218027331
Guatemala,GTM,GDP growth (annual %),3.28107984,0.526042983,2.869487756,4.16204894,2.969857401,3.697585601,4.174169137,4.140044358,3.092482558,2.760334857,3.145043317
Guam,GUM,GDP growth (annual %),1.728922092,0.314729333,2.091612633,0.12292563,2.025782689,1.825110309,1.733307071,0.464666021,0.289073039,0.24980784,-0.26835346
Guyana,GUY,GDP growth (annual %),1.976647054,3.552158264,4.13856435,5.196059258,5.276422643,5.017724952,3.898243206,3.05486454,3.363216124,2.100003391,4.10000155
High income,HIC,GDP growth (annual %),0.383327004,-3.319027588,2.962967969,1.858678015,1.281768594,1.439831825,2.026101924,2.330355715,1.713476258,2.302777126,2.237871305
"Hong Kong SAR, China",HKG,GDP growth (annual %),2.127908789,-2.459075001,6.76759015,4.814695863,1.700285359,3.101558647,2.762396425,2.387770814,2.176398369,3.84949281,3.002475556
Honduras,HND,GDP growth (annual %),4.23160011,-2.43162788,3.731140344,3.835690662,4.128687749,2.791559757,3.058080562,3.840079971,3.892972197,4.788026945,3.745584746
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),6.063056105,4.252004229,5.892584135,4.508236613,5.709899865,5.755457913,5.539202883,4.910489555,4.634420164,5.115397997,4.112241213
Croatia,HRV,GDP growth (annual %),1.759531746,-7.359498022,-1.496259495,-0.309847287,-2.237705463,-0.548518694,-0.103868249,2.437139302,3.483525422,3.139195999,2.630785623
Haiti,HTI,GDP growth (annual %),0.843944574,3.083247861,-3.12239443,5.523740015,2.892240172,4.247639994,2.776300137,1.224329778,1.452710152,1.17328004,1.483879788
Hungary,HUN,GDP growth (annual %),1.058291669,-6.699554727,0.664291825,1.819079958,-1.471788851,1.962984049,4.195082409,3.845557706,2.199998761,4.322809001,5.094002564
IBRD only,IBD,GDP growth (annual %),5.550649177,2.022673624,7.311064043,5.998632349,5.030928457,4.966623995,4.272410225,3.664052718,3.946365494,4.600682981,4.343148102
IDA & IBRD total,IBT,GDP growth (annual %),5.538218555,2.229417929,7.239259857,5.903360979,5.009266292,5.029774489,4.364361373,3.698303782,3.893837072,4.575492951,4.34254536
IDA total,IDA,GDP growth (annual %),5.356265661,5.229467148,6.229067874,4.549364003,4.696646847,5.944046261,5.683317597,4.183045361,3.150881719,4.216460734,4.334098971
IDA blend,IDB,GDP growth (annual %),4.42556395,5.715231261,6.24374515,5.001464341,4.531784131,5.823245241,5.80065289,3.908531289,1.576898025,2.743046051,3.614215937
Indonesia,IDN,GDP growth (annual %),6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.067406366,5.171270328
IDA only,IDX,GDP growth (annual %),6.356236885,4.727929928,6.213771155,4.078050199,4.870599186,6.071095782,5.56020142,4.471740324,4.812095853,5.723532463,5.04966817
Isle of Man,IMN,GDP growth (annual %),4.699998522,2.099999803,3.399999672,2.00000146,3.199999724,4.499999713,5.000000801,-0.900000388,7.399999657,3.6,
India,IND,GDP growth (annual %),3.08669806,7.861888833,8.497584702,5.241344743,5.456358951,6.386106401,7.410227605,7.996253786,8.169526505,7.167888861,6.811369326
Not classified,INX,GDP growth (annual %),,,,,,,,,,,
Ireland,IRL,GDP growth (annual %),-4.480383335,-5.079212673,1.809979744,0.343440795,0.225714843,1.351634004,8.556687985,25.16253305,3.677815811,8.145296156,8.169870933
"Iran, Islamic Rep.",IRN,GDP growth (annual %),0.250856553,1.007385458,5.797938302,2.645717918,-7.44455703,-0.194073471,4.60341888,-1.32064512,13.39624446,3.755187367,
Iraq,IRQ,GDP growth (annual %),8.228107104,3.379299094,6.402564845,7.5464712,13.93643017,7.6,0.7,2.477664617,15.21246273,-2.494642939,-0.562745503
Iceland,ISL,GDP growth (annual %),1.991980805,-6.777215052,-3.435878078,1.881619487,1.296436091,4.133851101,2.080287196,4.467860506,7.351475308,4.603781375,4.61147603
Israel,ISR,GDP growth (annual %),2.996483061,0.924262605,5.601137671,4.783497489,2.257237548,4.148054552,3.75820019,2.290092123,3.982046375,3.536703188,3.453702518
Italy,ITA,GDP growth (annual %),-0.962012841,-5.280937208,1.713295839,0.707333347,-2.980905768,-1.841065451,-0.004547542,0.778304351,1.279671128,1.716167381,0.774340013
Jamaica,JAM,GDP growth (annual %),-0.811736703,-4.336650187,-1.466059299,1.730376267,-0.61363604,0.501560583,0.691478109,0.92268214,1.375638727,1.003365318,1.940878147
Jordan,JOR,GDP growth (annual %),7.232408413,5.476580856,2.311392415,2.586784416,2.651170748,2.82876664,3.096330347,2.391695959,2.003733625,2.115732889,1.940292205
Japan,JPN,GDP growth (annual %),-1.0935406,-5.416412797,4.191739259,-0.11542134,1.495089586,2.000267841,0.374719476,1.222921041,0.609093181,1.928757251,0.788455876
Kazakhstan,KAZ,GDP growth (annual %),3.3,1.199999999,7.3,7.400000001,4.8,5.999999999,4.200000001,1.2,1.1,4.1,4.1
Kenya,KEN,GDP growth (annual %),0.232282746,3.306939815,8.405699224,6.10826372,4.563209131,5.878680567,5.357125644,5.718507131,5.8789493,4.862538223,6.319781364
Kyrgyz Republic,KGZ,GDP growth (annual %),8.401615957,2.8862947,-0.471566848,5.956274377,-0.2,10.9,4,3.9,4.3,4.7,3.5
Cambodia,KHM,GDP growth (annual %),6.691577475,0.086696959,5.963078575,7.069569946,7.313345505,7.356665149,7.142571101,7.036087179,7.030966776,7.01503011,7.497963508
Kiribati,KIR,GDP growth (annual %),-2.091436758,0.802751509,-0.923884657,1.594561102,4.713319136,4.214773912,-0.697828087,10.40540793,5.129750525,0.328439777,2.001036031
St. Kitts and Nevis,KNA,GDP growth (annual %),6.487855449,-3.368477723,-2.93665042,1.828435302,-2.228012307,5.383690734,6.284804235,1.033704225,2.826378868,-1.977341942,2.923938817
"Korea, Rep.",KOR,GDP growth (annual %),2.829223173,0.707509946,6.496793586,3.681688569,2.292397846,2.896204935,3.341447761,2.790236167,2.929304795,3.062768462,2.668311402
Kuwait,KWT,GDP growth (annual %),2.479756943,-7.076056431,-2.37055926,9.628436082,6.626388081,1.149038847,0.501132662,0.592763704,2.926121132,-4.712340346,1.246015947
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),4.04039272,-1.920661854,6.011047717,4.407756861,2.697425436,2.73044398,0.964740407,-0.5417236,-1.69127274,0.677350739,0.374039219
Lao PDR,LAO,GDP growth (annual %),7.824902763,7.501774913,8.526905517,8.038652681,8.026098434,8.026300226,7.611963441,7.270065843,7.022836255,6.892530873,6.247960008
Lebanon,LBN,GDP growth (annual %),9.248842241,10.05447737,8.037249354,0.917698798,2.720151566,2.619160879,1.884285662,0.415030765,1.6055246,0.551994777,0.199990636
Liberia,LBR,GDP growth (annual %),7.145688998,5.300539377,6.099827602,8.20076584,7.993815693,8.704028066,0.701143912,0,-1.599584075,2.468626095,1.222551313
Libya,LBY,GDP growth (annual %),2.66735579,-0.790141832,5.021289739,-62.07591958,123.1395552,-13.59999997,-24.00000003,-8.862039363,-2.79546889,26.67587012,7.949736798
St. Lucia,LCA,GDP growth (annual %),4.977063729,-1.454036303,0.303818186,4.139375889,-0.287670619,-1.974466829,1.338849057,0.234248586,3.146332373,2.550017764,0.85713557
Latin America & Caribbean,LCN,GDP growth (annual %),3.918384876,-1.881607344,5.841721969,4.387416982,2.784253925,2.753898198,1.001023158,-0.359275094,-1.462464435,0.690910003,0.499146513
Least developed countries: UN classification,LDC,GDP growth (annual %),7.158276115,4.5987099,6.247934911,3.79639356,4.948244537,5.730889345,5.438568571,4.056286395,3.831536693,4.810951841,4.225760139
Low income,LIC,GDP growth (annual %),6.037855002,5.207420982,6.974108199,3.496053488,3.48086483,6.074974249,5.782704988,2.916765143,3.428058787,4.87873752,4.952342246
Liechtenstein,LIE,GDP growth (annual %),1.798087686,-1.157481822,,,,,,,,,
